airport,year,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,avg_fare,total_passengers,total_delay
PVU,2020,394.6666666666667,1626.0,526.0,1439.0,1110.0,84.64666666666666,332.0,4701.0
DSM,2022,1468.3559322033898,33544.0,6767.0,12945.0,33300.0,250.91439655172414,6027.0,86556.0
ROC,2021,733.6829268292682,40165.0,6732.0,11022.0,31888.0,174.01281746031745,2716.0,89807.0
BOS,2020,2911.3357664233577,157012.0,18762.0,81336.0,140651.0,179.77398138297866,74342.0,397761.0
ABR,2022,852.2,2396.0,1837.0,28.0,0.0,,,4261.0
SUN,2022,410.2,2265.0,1075.0,76.0,671.0,,,4087.0
IND,2021,2487.410714285714,161608.0,22057.0,61107.0,170839.0,211.7301702657807,21881.0,415611.0
DEN,2020,8938.751937984496,582875.0,68879.0,246709.0,252581.0,171.68094999999994,57840.0,1151044.0
SBP,2020,1621.1904761904761,21500.0,1600.0,4441.0,6504.0,,,34045.0
YAK,2022,508.8,257.0,25.0,533.0,1729.0,,,2544.0
OMA,2021,1513.013888888889,99402.0,19995.0,20863.0,77499.0,207.086,10765.0,217759.0
DAL,2021,14145.351851851852,215338.0,17058.0,228979.0,300222.0,178.1541209002597,66615.0,761597.0
LAW,2021,772.0,2826.0,4894.0,1286.0,4890.0,,,13896.0
GRB,2020,358.0925925925926,10487.0,1452.0,3658.0,3740.0,,,19337.0
PUB,2020,570.8333333333334,4096.0,1062.0,498.0,1194.0,,,6850.0
ACY,2022,5257.4,7991.0,618.0,7941.0,9497.0,109.82111111111112,1669.0,26047.0
IND,2020,975.1497005988024,64524.0,11638.0,29382.0,57008.0,189.68477131782947,12191.0,162552.0
SAN,2020,1485.696,86112.0,6775.0,40504.0,51997.0,206.26164835164838,28600.0,185388.0
JFK,2021,12716.287234042553,515416.0,58536.0,213623.0,401505.0,221.91616589502834,129180.0,1189080.0
ADQ,2021,412.8333333333333,1803.0,505.0,836.0,1810.0,,,4954.0
SGF,2022,912.8148148148148,10185.0,1804.0,3720.0,8828.0,,,24537.0
ERI,2021,420.6363636363636,1315.0,610.0,291.0,2411.0,,,4627.0
ABQ,2021,1555.4084507042253,98395.0,13474.0,15130.0,93586.0,228.4358888888889,10974.0,220585.0
